LOC121109712	LOC121109712	Gene Expression
LOC121109716	LOC121109716	Gene Expression
LOC121109274	LOC121109274	Gene Expression
LOC121109714	LOC121109714	Gene Expression
LOC107054205	LOC107054205	Gene Expression
LOC101748467	LOC101748467	Gene Expression
LOC107054320	LOC107054320	Gene Expression
LOC121109412	LOC121109412	Gene Expression
PLXNA4	PLXNA4	Gene Expression
LOC107054375	LOC107054375	Gene Expression
LOC121109278	LOC121109278	Gene Expression
LOC121110533	LOC121110533	Gene Expression
LOC101752068	LOC101752068	Gene Expression
LOC107054362	LOC107054362	Gene Expression
LOC121108991	LOC121108991	Gene Expression
LOC121109383	LOC121109383	Gene Expression
PODXL	PODXL	Gene Expression
MKLN1	MKLN1	Gene Expression
LOC101750931	LOC101750931	Gene Expression
MIR29B1	MIR29B1	Gene Expression
MIR29A	MIR29A	Gene Expression
K123	K123	Gene Expression
IL2RA	IL2RA	Gene Expression
PFKFB3	PFKFB3	Gene Expression
RBM17	RBM17	Gene Expression
LOC124417609	LOC124417609	Gene Expression
PRKCQ	PRKCQ	Gene Expression
LOC121107859	LOC121107859	Gene Expression
SFMBT2	SFMBT2	Gene Expression
LOC121107861	LOC121107861	Gene Expression
LOC121110535	LOC121110535	Gene Expression
LOC121109369	LOC121109369	Gene Expression
LOC121109370	LOC121109370	Gene Expression
LOC121109385	LOC121109385	Gene Expression
LOC121109373	LOC121109373	Gene Expression
LOC121107863	LOC121107863	Gene Expression
LOC121109376	LOC121109376	Gene Expression
LOC121110612	LOC121110612	Gene Expression
LOC121109309	LOC121109309	Gene Expression
LOC121107866	LOC121107866	Gene Expression
LOC121107869	LOC121107869	Gene Expression
LOC419112	LOC419112	Gene Expression
ITIH5	ITIH5	Gene Expression
ITIH2	ITIH2	Gene Expression
KIN	KIN	Gene Expression
ATP5C1	ATP5C1	Gene Expression
LOC121107878	LOC121107878	Gene Expression
TAF3	TAF3	Gene Expression
LOC121107879	LOC121107879	Gene Expression
LOC107054553	LOC107054553	Gene Expression
GATA3	GATA3	Gene Expression
LOC121107877	LOC121107877	Gene Expression
LOC112532970	LOC112532970	Gene Expression
LOC121107884	LOC121107884	Gene Expression
LOC124417611	LOC124417611	Gene Expression
LOC121107885	LOC121107885	Gene Expression
LOC107054627	LOC107054627	Gene Expression
LOC121107886	LOC121107886	Gene Expression
LOC107054620	LOC107054620	Gene Expression
LOC121107903	LOC121107903	Gene Expression
LOC107054917	LOC107054917	Gene Expression
LOC121107917	LOC121107917	Gene Expression
MIR1626	MIR1626	Gene Expression
CELF2	CELF2	Gene Expression
MIR1596	MIR1596	Gene Expression
USP6NL	USP6NL	Gene Expression
ECHDC3	ECHDC3	Gene Expression
LOC121107961	LOC121107961	Gene Expression
PROSER2	PROSER2	Gene Expression
UPF2	UPF2	Gene Expression
DHTKD1	DHTKD1	Gene Expression
SEC61A2	SEC61A2	Gene Expression
NUDT5	NUDT5	Gene Expression
CDC123	CDC123	Gene Expression
CAMK1D	CAMK1D	Gene Expression
CCDC3	CCDC3	Gene Expression
LOC121107993	LOC121107993	Gene Expression
LOC121108015	LOC121108015	Gene Expression
OPTN	OPTN	Gene Expression
MCM10	MCM10	Gene Expression
PHYH	PHYH	Gene Expression
SEPHS1	SEPHS1	Gene Expression
BEND7	BEND7	Gene Expression
PRPF18	PRPF18	Gene Expression
FRMD4A	FRMD4A	Gene Expression
